model,day,split,sq,n,abs,sq_liquid,n_liquid,sq_illiquid,n_illiquid,butterfly_pct,calendar_pct
cnp,4524,ctx_100,0.8013005051957669,400,14.400151632726192,0.0986278306136652,79,0.7026726745821017,321,0.0,0.0
cnp,4524,extrapolation,0.851000046491601,321,13.27023819833994,0.0,0,0.851000046491601,321,0.0,0.0
cnp,4525,ctx_5,0.8992445859745519,400,15.130242228507996,0.15577988155288827,94,0.7434647044216636,306,0.0,0.0
cnp,4525,ctx_10,0.9423940371206783,400,15.312386229634285,0.168862832278349,94,0.7735312048423291,306,0.0,0.0
cnp,4525,ctx_20,0.898781859458738,400,14.91472627222538,0.15186022903479382,94,0.7469216304239441,306,0.0,0.0
cnp,4525,ctx_50,0.8962313569731541,400,14.884536534547806,0.15229187413992687,94,0.7439394828332271,306,0.0,0.0
cnp,4525,ctx_100,0.8965310352728122,400,14.89929211139679,0.15222135953832264,94,0.7443096757344896,306,0.0,0.0
cnp,4525,extrapolation,0.7430536475676397,306,11.884932421147823,0.0,0,0.7430536475676397,306,0.0,0.0
cnp,4526,ctx_5,0.5005455648712407,400,11.692658387124538,0.059122840261080445,84,0.4414227246101602,316,0.0,0.0
cnp,4526,ctx_10,0.5188230546365153,400,11.657487787306309,0.06335799591401631,84,0.455465058722499,316,0.0,0.0
cnp,4526,ctx_20,0.5124889825263315,400,11.569707296788692,0.05913477457950328,84,0.4533542079468281,316,0.0,0.0
cnp,4526,ctx_50,0.5167853898472936,400,11.620109908282757,0.05960735405308021,84,0.45717803579421334,316,0.0,0.0
cnp,4526,ctx_100,0.506157077396489,400,11.61449395865202,0.06103967130814275,84,0.44511740608834616,316,0.0,0.0
cnp,4526,extrapolation,0.4599602240950108,316,9.829990297555923,0.0,0,0.4599602240950108,316,0.0,0.0
cnp,4527,ctx_5,1.7145376969410338,400,22.583215199410915,0.5154432665383668,93,1.1990944304026672,307,0.0,0.0
cnp,4527,ctx_10,1.68337049285631,400,22.3374165520072,0.4935609200408374,93,1.1898095728154725,307,0.0,0.0
cnp,4527,ctx_20,1.682406374466591,400,22.392606861889362,0.4936587799277957,93,1.1887475945387953,307,0.0,0.0
cnp,4527,ctx_50,1.7214388481515317,400,22.54940926283598,0.505492724596706,93,1.2159461235548257,307,0.0,0.0
cnp,4527,ctx_100,1.6196374481735178,400,21.951052851974964,0.4720573312473786,93,1.1475801169261393,307,0.0,0.0
cnp,4527,extrapolation,1.0947128336533765,307,15.822224985808134,0.0,0,1.0947128336533765,307,0.0,0.0
cnp,4528,ctx_5,0.8939661827156344,400,15.919086128473282,0.11724818602967946,63,0.776717996685955,337,0.0,0.0
cnp,4528,ctx_10,1.0105198899941985,400,16.959145545959473,0.14653005271836506,63,0.8639898372758334,337,0.0,0.0
cnp,4528,ctx_20,0.9893102452740896,400,16.804240584373474,0.1439518300482847,63,0.8453584152258049,337,0.0,0.0
cnp,4528,ctx_50,0.939089953749066,400,16.38666270673275,0.1322877714493167,63,0.8068021822997493,337,0.0,0.0
cnp,4528,ctx_100,0.9498501205419703,400,16.477378025650978,0.13448515449344467,63,0.8153649660485256,337,0.0,0.0
cnp,4528,extrapolation,0.7984551376270337,337,13.789580717682838,0.0,0,0.7984551376270337,337,0.0,0.0
cnp,4529,ctx_5,2.06322819620335,400,24.841590955853462,0.3501774294570277,86,1.7130507667463226,314,0.0,0.0
cnp,4529,ctx_10,1.9772079775568894,400,24.216058149933815,0.33350203116860655,86,1.6437059463882828,314,0.0,0.0
cnp,4529,ctx_20,2.0726879814373946,400,24.89595341682434,0.3559708737079894,86,1.7167171077294052,314,0.0,0.0
cnp,4529,ctx_50,2.08633060397727,400,24.989897146821022,0.36157485166567316,86,1.7247557523115973,314,0.0,0.0
cnp,4529,ctx_100,1.949526707552188,400,24.005805492401123,0.33093245488423984,86,1.6185942526679482,314,0.0,0.0
cnp,4529,extrapolation,1.6269768410939598,314,19.278814435005188,0.0,0,1.6269768410939598,314,0.0,0.0
