model,day,split,sq,n,abs,sq_liquid,n_liquid,sq_illiquid,n_illiquid,butterfly_pct,calendar_pct
bspline_tiered_graph,4515,extrapolation,1.2206929926513905,299,16.577511941534894,0.0,0,1.2206929926513905,299,3.58974358974359,22.03125
bspline_tiered_graph,4516,ctx_8,0.9644905124954769,400,13.423135734466648,0.1551598735000045,77,0.8093306389954724,323,3.3854166666666665,28.571428571428573
bspline_tiered_graph,4516,extrapolation,0.8093306389954724,323,11.195358813843026,0.0,0,0.8093306389954724,323,3.3854166666666665,28.571428571428573
bspline_tiered_graph,4517,ctx_8,0.8064359945429709,400,11.838952226004555,0.2722972452811979,96,0.5341387492617728,304,3.1578947368421053,18.515625
bspline_tiered_graph,4517,extrapolation,0.5341387492617728,304,8.681517762120643,0.0,0,0.5341387492617728,304,3.1578947368421053,18.515625
bspline_tiered_graph,4518,ctx_8,1.016599463965854,400,15.818150812291059,0.2785093585322764,78,0.7380901054335778,322,3.816793893129771,24.0
bspline_tiered_graph,4518,extrapolation,0.7380901054335778,322,12.226501967662259,0.0,0,0.7380901054335778,322,3.816793893129771,24.0
bspline_tiered_graph,4519,ctx_8,2.049561041931825,400,20.201144843263513,0.6070990376221562,94,1.4424620043096685,306,2.056555269922879,22.279411764705884
bspline_tiered_graph,4519,extrapolation,1.4424620043096685,306,15.186435231220198,0.0,0,1.4424620043096685,306,2.056555269922879,22.279411764705884
bspline_tiered_graph,4520,ctx_8,0.9447245085605495,400,14.909285891992013,0.1218864506021993,81,0.8228380579583502,319,1.0282776349614395,19.11764705882353
bspline_tiered_graph,4520,extrapolation,0.8228380579583502,319,12.503583234403122,0.0,0,0.8228380579583502,319,1.0282776349614395,19.11764705882353
bspline_tiered_graph,4521,ctx_8,0.9438516801202823,400,14.869943490876443,0.11543139705404028,81,0.8284202830662419,319,3.7783375314861463,23.235294117647058
bspline_tiered_graph,4521,extrapolation,0.8284202830662419,319,12.595706167910416,0.0,0,0.8284202830662419,319,3.7783375314861463,23.235294117647058
bspline_tiered_graph,4522,ctx_8,1.2987398442697835,400,17.158118073084736,0.21157693916095596,76,1.0871629051088276,324,1.5267175572519085,21.029411764705884
bspline_tiered_graph,4522,extrapolation,1.0871629051088276,324,14.027963425357576,0.0,0,1.0871629051088276,324,1.5267175572519085,21.029411764705884
bspline_tiered_graph,4523,ctx_8,1.2239450282724347,400,17.481450106023495,0.22558561474564118,88,0.9983594135267935,312,2.0618556701030926,15.725806451612904
bspline_tiered_graph,4523,extrapolation,0.9983594135267935,312,13.862874016782701,0.0,0,0.9983594135267935,312,2.0618556701030926,15.725806451612904
bspline_tiered_graph,4524,ctx_8,0.3918624751682821,400,9.771465788519503,0.05969991826273006,79,0.33216255690555196,321,2.056555269922879,21.742424242424242
bspline_tiered_graph,4524,extrapolation,0.33216255690555196,321,7.926638701908351,0.0,0,0.33216255690555196,321,2.056555269922879,21.742424242424242
bspline_tiered_graph,4525,ctx_8,1.0867277988339303,400,16.468851400544516,0.2347228786404282,94,0.8520049201935023,306,4.404145077720207,18.38235294117647
